"Country or Area","Year(s)","Variant","Value"
"World","1963","Medium","3195779.247"
"World","1962","Medium","3126686.743"
"World","1961","Medium","3068370.609"
"World","1960","Medium","3019233.434"
"World","1959","Medium","2970292.188"
"World","1958","Medium","2916108.097"
"World","1957","Medium","2857866.857"
"World","1956","Medium","2801002.631"
"World","1955","Medium","2746072.141"
"World","1954","Medium","2691979.339"
"World","1953","Medium","2640278.797"
"World","1952","Medium","2590270.899"
"World","1951","Medium","2543130.38"
"World","1950","Medium","2499322.157"

