"Affaldsproduktion efter affaldsfraktion, behandlingsform, branche og tid"

" "," "," ","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Affald i alt (ekskl. jord)"
" ","I alt"
" "," ","410009 Nybyggeri",0,0,0,0,0,0,0,0,0,0,0
" "," ","46000 Engroshandel",0,0,0,0,0,0,0,0,0,0,0
" "," ","460000 Engroshandel",0,0,0,0,0,0,0,0,0,0,0
" "," ","47000 Detailhandel",0,0,0,0,0,0,0,0,0,0,0
" "," ","470000 Detailhandel",0,0,0,0,0,0,0,0,0,0,0
" "," ","H Transport",0,0,0,0,0,0,0,0,0,0,0
" "," ","49000 Landtransport",0,0,0,0,0,0,0,0,0,0,0
" "," ","490010 Regional- og fjerntog",0,0,0,0,0,0,0,0,0,0,0
" "," ","490020 Lokaltog, bus og taxi mv.",0,0,0,0,0,0,0,0,0,0,0
" "," ","490030 Fragtvognmænd og rørtransport",0,0,0,0,0,0,0,0,0,0,0
" "," ","51000 Luftfart",0,0,0,0,0,0,0,0,0,0,0
" "," ","510000 Luftfart",0,0,0,0,0,0,0,0,0,0,0
" "," ","I Hoteller og restauranter",0,0,0,0,0,0,0,0,0,0,0
" "," ","580020 Udgivelse af computerspil og anden software",0,0,0,0,0,0,0,0,0,0,0

"Fra 2016 opgøres 'madaffald' og 'organisk affald, andet' separat. For "
"årene 2011-2015 er disse affaldstyper opgjort samlet i fraktionen "
"'organisk affald, inkl. madaffald'. Fra 2016 opgøres 'tekstiler' og "
"'blandet emballage' separat. For årene 2011-2015 er disse "
"affaldstyper opgjort som en del af fraktionen 'andet affald'. "

